Id,FkProfileId,Name,BusinessSector,TotalAsset,PercentageOwn,IdField
215557,8,PT Adhi Commuter Properti,Properti,6.179.923.743.465,99.99 %,9
215563,8,PT Adhi Persada Beton,Industri Beton Pracetak,1.990.219.354.173,99.86000061 %,9
215564,8,PT Adhi Persada Beton,Industri Beton Pracetak,2.036.197.791.686,99.86 %,9
215565,8,PT Adhi Persada Beton,Industri Beton Pracetak,2.092.047.188.102,99.86 %,9
215566,8,PT Adhi Persada Beton,Industri Beton Pracetak,2.092.047.188.102,99.86 %,9
215567,8,PT Adhi Persada Gedung,Konstruksi Gedung,4.147.629.689.368,99.57 %,9
215568,8,PT Adhi Persada Gedung,Konstruksi Gedung,4.147.629.689.368,99.57 %,9
215569,8,PT Adhi Persada Gedung,Konstruksi Gedung,4.843.002.760.466,99.57 %,9
215570,8,PT Adhi Persada Gedung,Konstruksi Gedung,4.900.568.508.572,99.56999969 %,9
215571,8,PT Adhi Persada Gedung,Konstruksi Gedung,4.843.002.760.466,99.57 %,9
215572,8,PT Adhi Persada Properti,Properti,6.262.175.836.542,99.94 %,9
215573,8,PT Adhi Persada Properti,Properti,6.296.013.058.326,99.94000244 %,9
215574,8,PT Adhi Persada Properti,Properti,6.262.175.836.542,99.94 %,9
215575,8,PT Adhi Persada Properti,Properti,5.766.754.239.686,99.94 %,9
215576,8,PT Adhi Persada Properti,Properti,5.766.754.239.686,99.94 %,9
215577,8,PT Dumai Tirta Persada,Investasi di Bidang Air Minum,188.176.600.669,51.0 %,9
215578,8,PT Dumai Tirta Persada,Investasi di Bidang Air Minum,188.176.600.669,51.0 %,9
215579,8,PT Dumai Tirta Persada,Investasi di Bidang Air Minum,112.391.954.183,51.0 %,9
215580,8,PT Dumai Tirta Persada,Investasi di Bidang Air Minum,118.302.711.644,51.0 %,9
215581,8,PT Dumai Tirta Persada,Investasi di Bidang Air Minum,118.302.711.644,51.0 %,9
215582,8,PT Jalintim Adhi Abipraya,Investasi,131.414.431.070,60.0 %,9
215583,8,PT Jalintim Adhi Abipraya,Investasi,131.414.431.070,60.0 %,9
