Id,FkProfileId,Name,HoldingType,Amount,Percentage,IdField
452312,14,Roy S Wiradharma,Direksi,0,0,15
452313,14,Dwi Wahyuni,Direksi,0,0,15
452314,14,Sutjianta,Direksi,0,0,15
452315,14,Budi S Tanuwibowo,Komisaris,0,0,15
452316,14,Bambang Heryanto,Komisaris,0,0,15
452317,14,Pramono Margono,Komisaris,0,0,15
452324,15,"Paido S.M Panggabean, SE",Komisaris,0,0,16
452320,15,Effendi Leman,Lebih dari 5%,11.055.400,5.03,16
452321,15,PT. Aims Indo Investama,Lebih dari 5%,169.999.890,77.27,16
452322,15,Lainnya,Kurang dari 5%,38.944.710,17.7,16
452323,15,Saham Treasury,Saham Treasury,0,0,16
452329,16,-,Direksi,0,0,17
452325,16,PT ASTA ASKARA SENTOSA,Lebih dari 5%,1.441.374.472,15.48,17
452326,16,PT PANGAN SEJAHTERA INVESTAMA,Lebih dari 5%,5.385.880.500,57.84,17
452327,16,Masyarakat,Kurang dari 5%,2.484.545.028,26.68,17
452328,16,Saham Treasury,Saham Treasury,0,0,17
452332,17,Saham Treasury,Saham Treasury,0,0,18
452330,17,PT Eka Mandiri Anugerah Sejahtera,Lebih dari 5%,4.786.183.000,74.21,18
452331,17,Masyarakat,Kurang dari 5%,1.663.280.636,25.79,18
452339,18,Amirsyah Risjad,Komisaris,10.433.162,1.7,19
452333,18,PT Nawa Panduta,Lebih dari 5%,92.133.534,15.05,19
452334,18,PT Prismatama Nugraha,Lebih dari 5%,167.029.008,27.28,19
452335,18,PT Tiara Intimahkota,Lebih dari 5%,218.458.481,35.68,19
452336,18,Various,Kurang dari 5%,134.626.977,21.99,19
452337,18,Saham Treasury,Saham Treasury,0,0,19
452338,18,Henry Liem,Komisaris,20.639.459,3.37,19
452350,19,Termurti Tiban ,Direksi,50.000,0.0002,20
452340,19,PT Arthakencana Rayatama,Lebih dari 5%,11.963.130.600,59.6,20
452341,19,Masyarakat,Kurang dari 5%,7.774.039.000,38.72,20
452342,19,Saham Treasury,Saham Treasury,336.305.000,1.68,20
452343,19,Soegiarto Adikoesoemo,Komisaris,70.781.800,0.35,20
452344,19,Haryanto Adikoesoemo,Direksi,176.550.600,0.88,20
452345,19,Jimmy Tandyo,Direksi,36.000.000,0.18,20
452346,19,Bambang Soetiono S.,Direksi,3.780.000,0.02,20
452347,19,Mery Sofi,Direksi,303.000,0.002,20
452348,19,Suresh Vembu,Direksi,3.627.500,0.02,20
452349,19,Nery Polim,Direksi,450.000,0.002,20
452354,20,-,Direksi,0,0,21
452351,20,PT Batulicin Enam Sembilan Transportasi,Lebih dari 5%,665.699.750,92.46,21
452352,20,Masyarakat,Kurang dari 5%,54.300.250,7.54,21
452353,20,Saham Treasury,Saham Treasury,0,0,21
452365,21,Willy Soesanto,Direksi,22.826.351,1.73,22
452355,21,PT Golden Arista International,Lebih dari 5%,905.285.892,68.75,22
452356,21,Herwanto Sutanto,Kurang dari 5%,24.615.385,1.87,22
452357,21,Erik Sutanto,Kurang dari 5%,12.000.000,0.91,22
452358,21,Willy Soesanto,Kurang dari 5%,22.826.351,1.73,22
452359,21,Lili Mulyadi Sutanto,Kurang dari 5%,42.153.846,3.2,22
452360,21,Masyarakat,Kurang dari 5%,287.686.738,21.85,22
452361,21,Saham Treasury,Saham Treasury,22.288.100,1.69,22
452362,21,Lili Mulyadi Sutanto,Komisaris,42.153.846,3.2,22
452363,21,Erik Sutanto,Komisaris,12.000.000,0.91,22
452364,21,Herwanto Sutanto,Direksi,24.615.385,1.87,22
452371,22,Suryadi Hertanto,Komisaris,20.000,0.0039,24
452366,22,PT. Gesit Alumas,Lebih dari 5%,81.427.500,16,24
452367,22,PT. Gesit Perkasa,Lebih dari 5%,391.478.055,77,24
452368,22,Masyarakat,Kurang dari 5%,34.759.500,7,24
452369,22,Saham Treasury,Saham Treasury,0,0,24
452370,22,Peng Tjoan,Komisaris,20.000,0.0039,24
452383,23,Alim Markus,Direksi,9.055.000,0.24,25
452384,23,Alim Prakasa,Direksi,169.000,0,25
452372,23,"Guna Investindo, PT",Lebih dari 5%,330.080.000,8.65,25
452373,23,"Husin Investama, PT ",Lebih dari 5%,2.537.631.978,66.5,25
452374,23,"Alim Investindo, PT ",Lebih dari 5%,600.020.374,15.72,25
452375,23,Masyarakat,Kurang dari 5%,144.837.060,3.79,25
452376,23,"Marindo Investama, PT ",Kurang dari 5%,93.459.476,2.45,25
452377,23,"Maspion, PT",Kurang dari 5%,35.068.704,0.92,25
452378,23,"Mulindo Investama, PT",Kurang dari 5%,36.463.704,0.96,25
452379,23,"Prakindo Investama, PT ",Kurang dari 5%,38.438.704,1.01,25
452380,23,Saham Treasury,Saham Treasury,0,0,25
452381,23,"Welly Muliawan, Lie",Komisaris,916.400,0.02,25
452382,23,Gunardi Go,Komisaris,560.000,0.01,25
452393,24,Huda Nardono,Direksi,2.402.200,0.11,26
452385,24,"PT Trimegah Sekuritas Indonesia, Tbk",Lebih dari 5%,210.832.443,9.62,26
452386,24,"Persero Danareksa,PT S/A PSC",Lebih dari 5%,149.437.339,6.82,26
452387,24,PT Tirtamas Anggada,Lebih dari 5%,356.130.919,16.25,26
452388,24,PT Fikasa Bintang Cemerlang,Lebih dari 5%,798.633.308,36.44,26
452389,24,Masyarakat,Kurang dari 5%,627.836.549,28.63,26
452390,24,Bhakti Salim,Kurang dari 5%,46.900.000,2.14,26
452391,24,Agung Salim,Kurang dari 5%,2.100.000,0.1,26
452392,24,Saham Treasury,Saham Treasury,0,0,26
452397,25,Saham Treasury,Saham Treasury,15.463.400,0.31,27
452394,25,FAIRFAX ASIA LIMITED,Lebih dari 5%,4.001.242.013,80,27
452395,25,PT BANK PAN INDONESIA Tbk,Lebih dari 5%,388.000.000,7.76,27
452396,25,MASYARAKAT,Kurang dari 5%,596.847.103,11.93,27
452402,1563,Johan Tedja Surya,Komisaris,15.665.000,0.4,1137
452398,1563,PT Griya Prima Amanda,Lebih dari 5%,3.158.500.000,81.54,1137
452399,1563,Masyarakat,Kurang dari 5%,715.000.000,18.46,1137
452400,1563,Saham Treasury,Saham Treasury,0,0,1137
452401,1563,Siauw Jennice Maria,Komisaris,114.335.000,2.95,1137
452412,1564,Ratna Heimawaty Zain,Komisaris,0,0,1121
452403,1564,Tolaram Group Inc.,Lebih dari 5%,13.041.821.668,70.952,1121
452404,1564,Investree Singapore Pte Ltd ,Lebih dari 5%,2.542.948.448,13.835,1121
452405,1564,Masyarakat,Kurang dari 5%,2.796.324.644,15.213,1121
452406,1564,Saham Treasury,Saham Treasury,0,0,1121
452407,1564,Vishal Tulsian,Direksi,293.778.200,1.598,1121
452408,1564,B. Budijanto Jahja,Direksi,0,0,1121
452409,1564,R. Eka Banyuaji,Direksi,3.626.113,0.019,1121
452410,1564,Navin Nahata,Komisaris,0,0,1121
452411,1564,Ir. Zainal Abidin Hasni,Komisaris,0,0,1121
452417,26,-,Direksi,0,0,28
452413,26,AGC Inc.,Lebih dari 5%,193.240.400,44.53,28
452414,26,PT RODAMAS,Lebih dari 5%,180.677.700,41.63,28
