Id,FkProfileId,Name,Role,Independent,IdField
107856,1559,Thelly Rope,KOMISARIS,Ya,1114
107860,534,MICHAEL WILLIAM P. SOERYADJAYA,KOMISARIS,Tidak,955
107861,534,SUTANTO,KOMISARIS,Ya,955
107862,534,ROBIYANTO,KOMISARIS,Ya,955
107863,534,ATIFF IBRAHIM GILL,KOMISARIS,Tidak,955
107864,534,HANS-GERD WIENANDS,KOMISARIS,Ya,955
107857,534,HEYZER HARSONO,KOMISARIS UTAMA,Tidak,955
107858,534,RASID HARSONO,WAKIL KOMISARIS UTAMA,Tidak,955
107859,534,SETYO WAHONO,WAKIL KOMISARIS UTAMA,Tidak,955
107865,12,Muhamad Sidik Heruwibowo,KOMISARIS UTAMA,Tidak,13
107866,12,Eko B. Supriyanto,KOMISARIS,Ya,13
107867,12,Rina Sa'adah,KOMISARIS,Ya,13
107868,12,Retno Wahyuni Wijayanti,KOMISARIS,Ya,13
107869,12,Achmad F.C. Barir,KOMISARIS,Tidak,13
107870,13,Kang Ho Chang,KOMISARIS,Tidak,14
107871,13,Taufik Hakim,KOMISARIS UTAMA,Ya,14
107872,13,Damal Bayu Utama,KOMISARIS,Ya,14
107873,13,Joni Swastanto,KOMISARIS,Ya,14
107874,14,Adhi Indrawan,KOMISARIS UTAMA,Tidak,15
107875,14,Pramono Margono,KOMISARIS,Ya,15
107876,14,Adi Purnomo Wijaya,KOMISARIS,Ya,15
107877,15,Paido Sahala Marulitua,KOMISARIS UTAMA,Tidak,16
107878,15,Megah Supratiwi,KOMISARIS,Ya,16
107881,16,"Ir. R. Benny Wachjudi, MBA",KOMISARIS,Ya,17
107882,16,Lim Aun Seng,KOMISARIS UTAMA,Tidak,17
107879,16,Grant Lutz,KOMISARIS,Tidak,17
107880,16,"Komjen (Purn) Dr. Drs. H. Ito Sumardi D.S., S.H., M.H., M.M., M.B.A.",KOMISARIS,Ya,17
107884,17,WILHELMINA WIRIADISASTRA,KOMISARIS,Ya,18
107883,17,DHARMITHEA KIEMAS HAMIDY,PRESIDEN KOMISARIS,Tidak,18
107887,18,WIDJOJO BUDIARTO,KOMISARIS,Ya,19
107885,18,BRENNA FLORENCE PRIBADI,KOMISARIS,Tidak,19
107886,18,JOHAN PAULUS YORANOUW,KOMISARIS,Ya,19
107890,18,AMIRSYAH RISJAD,KOMISARIS,Tidak,19
107888,18,ANDRY PRIBADI,KOMISARIS UTAMA,Tidak,19
107889,18,HENRY LIEM,KOMISARIS,Tidak,19
107893,19,Mohamad Fauzi Maulana Ichsan,KOMISARIS,Ya,20
107891,19,Soegiarto Adikoesoemo,PRESIDEN KOMISARIS,Tidak,20
107892,19,I Nyoman Mastra,KOMISARIS,Tidak,20
107894,20,Rosmaria Parlindungan,KOMISARIS UTAMA,Tidak,21
107895,20,Sumarwoto,KOMISARIS,Ya,21
107896,21,Lili Mulyadi Sutanto,KOMISARIS UTAMA,Tidak,22
107897,21,Erik Sutanto,KOMISARIS,Tidak,22
107898,21,Meigi Sonnata Widjaja,KOMISARIS,Ya,22
107906,22,Suryadi Hertanto,KOMISARIS,Tidak,24
107904,22,Peng Tjoan,PRESIDEN KOMISARIS,Tidak,24
107905,22,Bambang Rahardja Burhan,WAKIL PRESIDEN KOMISARIS,Ya,24
107907,23,"Welly Muliawan, Lie",KOMISARIS UTAMA,Tidak,25
107908,23,Gunardi Go,KOMISARIS,Tidak,25
107909,23,Drs. Supranoto Dipokusumo,KOMISARIS,Ya,25
107910,24,Listiani Chandra Sekar,KOMISARIS UTAMA,Tidak,26
107911,24,Iman Kushardiman,KOMISARIS,Ya,26
107912,25,Ramaswamy Athappan,PRESIDEN KOMISARIS,Tidak,27
107913,25,Dedi Setiawan,WAKIL PRESIDEN KOMISARIS,Tidak,27
107914,25,Lukman Abdullah,KOMISARIS,Ya,27
107915,25,"Dr. H. Firdaus Djaelani, MA",KOMISARIS,Ya,27
107918,1563,"Djoko Sartono, SH, M.Si",KOMISARIS,Ya,1137
107916,1563,Johan Tedja Surya,KOMISARIS UTAMA,Tidak,1137
107917,1563,Siauw Jennice Maria,KOMISARIS,Tidak,1137
107921,1564,Ratna Heimawaty Zain,KOMISARIS,Ya,1121
107919,1564,Navin Nahata,KOMISARIS UTAMA,Tidak,1121
107920,1564,Ir. Zainal Abidin Hasni MA,KOMISARIS,Ya,1121
107922,26,TAN PEI LING,PRESIDEN KOMISARIS,Tidak,28
107923,26,SHIGEKI YOSHIBA,WAKIL PRESIDEN KOMISARIS,Tidak,28
107924,26,EMANUEL DAVID SATRIA SOETEDJA,KOMISARIS,Tidak,28
107925,26,HIROYUKI OTANI,KOMISARIS,Tidak,28
107926,26,IRAWAN SOERODJO,KOMISARIS,Ya,28
107927,26,KIMIKAZU ICHIKAWA,KOMISARIS,Ya,28
107928,27,Juliani,PRESIDEN KOMISARIS,Tidak,817
107929,27,Daulat Sihombing,KOMISARIS,Ya,817
107931,750,Markus Permadi,KOMISARIS,Ya,1330
107932,750,Teguh Boentoro,KOMISARIS,Ya,1330
107933,750,M. Teguh Pamuji,KOMISARIS,Tidak,1330
107930,750,Agoes Projosasmito,KOMISARIS UTAMA,Tidak,1330
107934,677,Chan Pik Yan,KOMISARIS UTAMA,Tidak,1257
107935,677,"Prof. Dr. Rokhmin Dahuri, MSC",KOMISARIS,Ya,1257
107936,677,"Ny. Arie Yuriwin, S.H., M.SI.",KOMISARIS,Ya,1257
107937,1565,Thomas Adam Shippey,PRESIDEN KOMISARIS,Tidak,1125
107938,1565,Satriadi Indarmawan,KOMISARIS,Ya,1125
107940,28,Budiyanto Djoko Susanto,KOMISARIS,Tidak,29
107941,28,"Komjen. Pol.(Purn) Drs. Setyo Wasisto, S.H.",KOMISARIS,Ya,29
107942,28,Budi Setiyadi,KOMISARIS,Ya,29
107939,28,Feny Djoko Susanto,PRESIDEN KOMISARIS,Tidak,29
107943,535,Wilson,KOMISARIS UTAMA,Tidak,1038
107944,535,Andre Handhika Tessaputra The,KOMISARIS,Ya,1038
107949,29,Josep Kristiadi,KOMISARIS,Ya,30
107950,29,Darwin Cyril Noerhadi,KOMISARIS,Ya,30
107951,29,Istini Tatiek SIddharta ,KOMISARIS,Tidak,30
107945,29,Adrianto Machribie,KOMISARIS UTAMA,Ya,30
107946,29,George Santosa Tahija,KOMISARIS,Tidak,30
107947,29,Sjakon George Tahija,KOMISARIS,Tidak,30
107948,29,Anastasius Wahyuhadi,KOMISARIS,Tidak,30
107955,30,Gumilar Rusliwa Somantri ,KOMISARIS,Ya,33
107956,30,Anang Sri Kusuwardono ,KOMISARIS,Ya,33
