Id,FkProfileId,Name,Role,Affiliated,IdField
183415,35,Paul Christian Ariyanto,DIREKTUR,Ya,38
183416,35,Anak Agung Mas Wirajaya,DIREKTUR,Ya,38
183412,35,Noer Indradjaja,WAKIL DIREKTUR UTAMA,Ya,38
183423,1788,Rudy Suhendra,DIREKTUR UTAMA,Ya,1192
183424,1788,Christian Emanuel David Sompie,DIREKTUR,Ya,1192
183425,1788,Hidayat Dwiputro Sulaksono ,DIREKTUR,Ya,1192
183426,1788,Scott Gerald Atkinson,DIREKTUR,Ya,1192
183430,37,James Gunawan,DIREKTUR,Ya,41
183427,37,Surjanto Purnadi,DIREKTUR UTAMA,Ya,41
183428,37,Widarsono,DIREKTUR,Ya,41
183429,37,Djoenaedy Widjaja,DIREKTUR,Ya,41
183435,38,Lidwina S. Nugraha,DIREKTUR,Tidak,42
183431,38,Abdi Andre,PRESIDEN DIREKTUR,Ya,42
183432,38,Hans Jurgen Kaschull,WAKIL PRESIDEN DIREKTUR,Ya,42
183433,38,Ika Riawan,DIREKTUR,Ya,42
183434,38,Joko Kus Sulistyoko,DIREKTUR,Ya,42
183437,1571,Baharaja Sianipar,DIREKTUR,Ya,1094
183436,1571,Dwi Hartanto,DIREKTUR UTAMA,Ya,1094
183441,4559,Boy Gemino Kalauserang,DIREKTUR,Ya,1247
183438,4559,Aldo Henry Artoko,DIREKTUR UTAMA,Ya,1247
183439,4559,Ricky Hartono,DIREKTUR,Ya,1247
183440,4559,Ir. Ismu Nugroho,DIREKTUR,Ya,1247
183444,536,Ikman Maulana,DIREKTUR,Ya,982
183442,536,Firdaus,DIREKTUR UTAMA,Ya,982
183443,536,Meco Sitardja,DIREKTUR,Ya,982
183447,39,"George Elnadus Supit, S.Sos",DIREKTUR,Tidak,43
183445,39,"Tandean Rustandy, M.B.A.",DIREKTUR UTAMA,Ya,43
183446,39,Edy Suyanto. S.E.,DIREKTUR,Ya,43
183450,40,Yeremy Vincentius,DIREKTUR UTAMA,Ya,44
183448,40,Chan Shih Mei,DIREKTUR,Ya,44
183449,40,Tsun Tien Wen Lie,DIREKTUR,Ya,44
183453,41,-,DIREKTUR,Tidak,45
183451,41,B. Bur Maras,DIREKTUR UTAMA,Ya,45
183452,41,Gemilang Zaharin,DIREKTUR,Ya,45
183459,42,N/A,WAKIL DIREKTUR UTAMA,Ya,876
183454,42,Arief Harris Tandjung,DIREKTUR UTAMA,Ya,876
183455,42,Peterjan Van Nieuwenhuizen,DIREKTUR,Ya,876
183456,42,Sonny Christian Joseph,DIREKTUR,Ya,876
183457,42,Tjit Siat Fun,DIREKTUR,Tidak,876
183458,42,Umakanth Rama Pai,DIREKTUR,Ya,876
183464,43,Yurivanno Gani,DIREKTUR,Ya,46
183460,43,Hastanto Sri Margi Widodo,PRESIDEN DIREKTUR,Ya,46
183461,43,Reniwati Darmakusumah,DIREKTUR,Ya,46
183462,43,Jenry Cardo Manurung,DIREKTUR,Ya,46
183463,43,Zafar Dinesh Idham,DIREKTUR,Ya,46
183465,44,Dewi Mandrawan,PRESIDEN DIREKTUR,Ya,47
183466,44,Purnama Hadiwidjaja,DIREKTUR,Ya,47
183467,44,Victor Maria S. Sandjaja,DIREKTUR,Ya,47
183468,44,Dharmawan Sumarta,DIREKTUR,Ya,47
183472,45,Trivena Nalsalita,DIREKTUR,Ya,48
183469,45,Hendrix Pramana,PRESIDEN DIREKTUR,Ya,48
183470,45,King Iriawan Sutanto,DIREKTUR,Ya,48
183471,45,Widi Triwibowo,DIREKTUR,Ya,48
183474,4494,Henry Sutioso,DIREKTUR,Ya,1246
183473,4494,William Sutioso,DIREKTUR UTAMA,Ya,1246
183480,46,Chiew Sin Cheok,DIREKTUR,Ya,50
183481,46,Gidion Hasan,DIREKTUR,Ya,50
183482,46,Henry Tanoto,DIREKTUR,Ya,50
183483,46,Santosa,DIREKTUR,Ya,50
183484,46,Gita Tiffani Boer,DIREKTUR,Ya,50
183485,46,FXL Kesuma,DIREKTUR,Ya,50
183486,46,Hamdani Dzulkarnaen Salim,DIREKTUR,Ya,50
183477,46,Djony Bunarto Tjondro,PRESIDEN DIREKTUR,Ya,50
183478,46,Johannes Loman,DIREKTUR,Ya,50
183479,46,Suparno Djasmin,DIREKTUR,Ya,50
183490,47,Rudi Harjito,DIREKTUR,Ya,51
183487,47,Sugeng Sudibjo,DIREKTUR UTAMA,Ya,51
183488,47,Arifia Indah Liany,DIREKTUR,Ya,51
183489,47,Hasbi Ashsiddiqi,DIREKTUR,Ya,51
183493,2069,Armeza Farhansyah Umar,DIREKTUR,Ya,1228
183491,2069,Jany Candra,PRESIDEN DIREKTUR,Ya,1228
183492,2069,Kazuhiro Shioyama,DIREKTUR,Ya,1228
183496,48,LIANNY,DIREKTUR,Ya,52
183494,48,JEMMY ATMADJA,DIREKTUR UTAMA,Ya,52
183495,48,NORVIN OSEL,DIREKTUR,Ya,52
183498,1574,Arnoldus Jansen Kustianto,DIREKTUR,Ya,1134
183497,1574,Suwandi Notopradono,DIREKTUR UTAMA,Ya,1134
183502,49,Andrew Charles Walker ,DIREKTUR,Ya,53
183499,49,Joseph Sanusi Tjong,DIREKTUR UTAMA,Ya,53
183500,49,Lilia Setiprawarti Sukotjo ,DIREKTUR,Ya,53
183501,49,RM Frangky A.D.,DIREKTUR,Ya,53
183507,50,A.M. ANDI PRIMADI,DIREKTUR,Ya,54
183503,50,SYAHRIL,DIREKTUR UTAMA,Ya,54
183504,50,JIWA ANGGARA,WAKIL DIREKTUR UTAMA,Ya,54
183505,50,PRISTIWANTO BANI,DIREKTUR,Ya,54
183506,50,Y. PARLINDUNGAN MANURUNG,DIREKTUR,Ya,54
183511,51,Tjoeng Suyanto,DIREKTUR,Ya,55
183508,51,Drs. Prodjo Sunarjanto Sekar Pantjawati,PRESIDEN DIREKTUR,Ya,55
183509,51,Jerry Fandy Tunjungan,DIREKTUR,Ya,55
183510,51,Jany Candra,DIREKTUR,Ya,55
183513,1575,Rachmat Yaktihadi,DIREKTUR,Ya,1168
183512,1575,Indriati,DIREKTUR UTAMA,Ya,1168
183516,52,Harry Surjanto Hambali,PRESIDEN DIREKTUR,Ya,56
183517,52,Lie David Limina,DIREKTUR,Ya,56
183518,52,Adriansyah Adnan,DIREKTUR,Ya,56
183514,52,Hideaki Ohashi,DIREKTUR,Ya,56
183515,52,Rieko Kawaguchi,DIREKTUR,Ya,56
183527,54,Ronny Kusgianta,DIREKTUR,Ya,58
183521,54,Hamdani Dzulkarnaen Salim,PRESIDEN DIREKTUR,Ya,58
183522,54,Lay Agus,DIREKTUR,Ya,58
183523,54,Kusharijono,DIREKTUR,Ya,58
183524,54,Wanny Wijaya,DIREKTUR,Ya,58
183525,54,Heru Harsana,DIREKTUR,Ya,58
183526,54,Tujuh Martogi Siahaan,DIREKTUR,Ya,58
183532,1796,Angelica Tanisia Jozar,DIREKTUR,Tidak,1220
183528,1796,Wijono Tanoko,DIREKTUR UTAMA,Ya,1220
183529,1796,Ruslan Tanoko,WAKIL DIREKTUR UTAMA,Ya,1220
183530,1796,Robert Christian Tanoko,DIREKTUR,Ya,1220
183531,1796,Kurnia Hadi Sinanto,DIREKTUR,Tidak,1220
183535,737,William Cahyadi Liauw,DIREKTUR,Ya,1317
183533,737,Yunika Rima,DIREKTUR UTAMA,Ya,1317
183534,737,Shaanee P Harjani,DIREKTUR,Ya,1317
183538,4584,Alex,DIREKTUR,Ya,1252
183536,4584,Michael Sugiarto,DIREKTUR UTAMA,Ya,1252
183537,4584,Luhur Budiman,DIREKTUR,Ya,1252
183540,1576,Ricky Sastra Hidayat,DIREKTUR,Ya,1131
183539,1576,Indra Jaya David Pardosi,DIREKTUR UTAMA,Ya,1131
183545,55,Reinard Y. Seno Setiaji,DIREKTUR,Tidak,59
183541,55,Rita Montagna Siahaan,PRESIDEN DIREKTUR,Tidak,59
183542,55,Denny Setiawan Hanubrata,WAKIL PRESIDEN DIREKTUR,Tidak,59
183543,55,Thomas Hartono Tulus,WAKIL PRESIDEN DIREKTUR,Tidak,59
183544,55,Hermawan,DIREKTUR,Tidak,59
183550,56,Harri Setia Budhi,DIREKTUR,Ya,60
183546,56,Wahyu Dwi Aji,DIREKTUR UTAMA,Ya,60
183547,56,Yenny Hoo,DIREKTUR,Ya,60
183548,56,Kurniawan Halim,DIREKTUR,Ya,60
183549,56,Lim Migi Trisnadi Elias,DIREKTUR,Ya,60
183558,57,Entario Widjaja Susanto,DIREKTUR,Ya,62
183557,57,Pandji Surya Soerjoprahono,DIREKTUR,Ya,62
183556,57,Handaja Susanto,DIREKTUR UTAMA,Ya,62
183562,58,Robby Hermanto,DIREKTUR,Ya,63
183559,58,Jap Owen Ronadhi,DIREKTUR UTAMA,Ya,63
183560,58,Lily Hidayat,WAKIL DIREKTUR UTAMA,Ya,63
183561,58,Tjhang Teddy Gunawan,DIREKTUR,Tidak,63
183566,1585,BAIQ NADEA DZURRIATIN          ,DIREKTUR,Ya,1175
183563,1585,DYOTA MAHOTTAMA MARSUDI,PRESIDEN DIREKTUR,Ya,1175
183564,1585,FIRDILA SARI ,DIREKTUR,Ya,1175
183565,1585,MAYANG EKAPUTRI,DIREKTUR,Ya,1175
183568,59,Rohana Agustjik,DIREKTUR,Tidak,64
183567,59,"Warinton Simanjuntak, SE, SH",DIREKTUR UTAMA,Ya,64
183572,1586,Susan Hadiyani,DIREKTUR,Ya,1099
183569,1586,Hidayat Ratman,DIREKTUR,Ya,1099
183570,1586,Umar Setiabudi,DIREKTUR UTAMA,Ya,1099
183571,1586,Ahmad Surahman,DIREKTUR,Ya,1099
183577,60,Ian Duncan Mcnab Cowe ,DIREKTUR,Ya,65
183573,60,Anirban Ghosh,PRESIDEN DIREKTUR,Ya,65
183574,60,Hatta Tutuko,DIREKTUR,Ya,65
183575,60,Ahmad Danial,DIREKTUR,Ya,65
183576,60,Susan,DIREKTUR,Ya,65
183583,2099,Foong Tak Hoy,DIREKTUR,Ya,1230
183582,2099,Simon Hendiawan,DIREKTUR UTAMA,Ya,1230
183586,61,Kusuwandi Tamin,DIREKTUR,Ya,67
183584,61,Agustinus Kasjaya Pake Seko,DIREKTUR UTAMA,Ya,67
183585,61,Hardy Karuniawan,DIREKTUR,Tidak,67
183590,62,Tan Ho Hien/Subur atau dipanggil Subur Tan,DIREKTUR,Ya,68
183587,62,Jahja Setiaatmadja,PRESIDEN DIREKTUR,Ya,68
183588,62,Armand Wahyudi Hartono,WAKIL PRESIDEN DIREKTUR,Ya,68
183589,62,Gregory Hendra Lembong,WAKIL PRESIDEN DIREKTUR,Ya,68
183591,62,Rudy Susanto,DIREKTUR,Ya,68
183592,62,Lianawaty Suwono,DIREKTUR,Ya,68
183593,62,Santoso,DIREKTUR,Ya,68
183594,62,Vera Eve Lim,DIREKTUR,Ya,68
183595,62,Haryanto Tiara Budiman,DIREKTUR,Ya,68
183596,62,Frengky Chandra Kusuma,DIREKTUR,Ya,68
183597,62,John Kosasih,DIREKTUR,Ya,68
183598,62,Antonius Widodo Mulyono,DIREKTUR,Ya,68
183599,63,Arief Tendeas,DIREKTUR,Tidak,819
183600,63,Ari Yanuanto Asah,DIREKTUR,Tidak,819
183601,63,Ganda Saputra Rusli,DIREKTUR,Tidak,819
183602,63,"Ir. Indra Utoyo, MSi.",DIREKTUR UTAMA,Tidak,819
183603,63,Sajal Bhatnagar,DIREKTUR,Tidak,819
183612,64,Woo Yeul Lee,DIREKTUR UTAMA,Ya,70
183613,64,Robby Mondong,WAKIL DIREKTUR UTAMA,Ya,70
183614,64,Helmi Fahrudin,DIREKTUR,Ya,70
183615,64,Dodi Widjajanto,DIREKTUR,Ya,70
183616,64,Seng Hyup Shin,DIREKTUR,Ya,70
183617,64,Yohanes Suhardi,DIREKTUR,Ya,70
183618,64,Henry Sawali,DIREKTUR,Ya,70
