FiscalYearEnds,DateOfStatement,Currency,Range,Cashnequivalent,CurrAsset,FixedAsset,TotalAsset,CurrliAbilities,LongtermDebt,MinInterest,TotalLiab,Paidupcap,TotEquity,TotSales,GrossProfit,OperateProfit,NetIncome,CashPptAct,CashInvAct,CashFinAct,Eps,BookValue,Der,Roa,Roe,Npm,Opm,SalesPct,NetIncomePct,TotAssetPct,TotalLiabilitiesPct,Id,DateCreated,DateModified,IsUpdateDate,IdField
December,2016-06-30,IDR,1.0,12424832.0,67148241634.0,0.0,67148241634.0,1503989679.0,0.0,0.0,1503989679.0,720000000.0,65644251956.0,6725569998.0,0.0,6475154098.0,5987537739.0,0.0,-2804812153.0,-2804812153.0,4.3194,91.89,0.02,0.1189,0.1216,0.89,0.96,-83.43,-217.14,-69.63,-1573.97,20,2016-03-24T16:05:14.082085,2016-10-01T00:03:36.002765,True,21
December,2016-06-30,IDR,1.0,15979064986.0,239455126434.0,134234729156.0,373689855590.0,181937931588.0,14153974364.0,0.0,196091905952.0,550000000.0,177597949639.0,397804354159.0,78510612194.0,24297578455.0,8514654597.0,0.0,-1383390891.0,-1383390891.0,37.3835,344.44,1.1,0.0304,0.0639,0.02,0.06,25.11,41.45,10.02,7.62,21,2016-03-24T16:05:14.113335,2016-10-01T00:03:36.034015,True,22
December,2016-06-30,IDR,1.0,4127797000.0,241304341000.0,26790602000.0,268094943000.0,194250978000.0,6826369000.0,0.0,201077347000.0,101533011.0,67017596000.0,614317755000.0,13054915000.0,-1652802000.0,-1470373000.0,0.0,-9082380000.0,-9082380000.0,0.2615,119.45,3.0,-0.0073,-0.0293,0.0,0.0,46.49,-1274.23,39.6,56.78,22,2016-03-24T16:05:14.144585,2016-10-01T00:03:36.065265,True,24
December,2016-06-30,IDR,1.0,152740409192.0,1593200620575.0,863292149107.0,2456492769682.0,1626184007632.0,132757668320.0,0.0,1758941675951.0,616000000.0,697551093730.0,2649872780433.0,84523842136.0,16555058496.0,-17930859359.0,0.0,-379075332568.0,-379075332568.0,-167.8328,678.98,2.52,-0.0097,-0.0343,-0.01,0.01,-78.46,108.13,-26.55,-18.64,23,2016-03-24T16:05:14.19146,2016-10-01T00:03:36.08089,True,25
December,2016-03-31,IDR,1.0,7888894933.0,642313437042.0,546505349727.0,1188818786769.0,110402104925.0,569951300644.0,0.0,1188818786769.0,1550000000.0,506177522297.0,201679708781.0,73939657577.0,11254613475.0,-24095872325.0,0.0,-1902135389.0,-1902135389.0,0.9324,231.03,2.35,-0.027,-0.0635,-0.12,0.06,6.39,882.98,-1.4,-80.6,24,2016-03-24T16:05:14.252984,2016-10-01T00:03:36.11214,True,26
December,2016-06-30,IDR,1.0,28531579000.0,2345210459000.0,224837458000.0,2570047917000.0,1127559813000.0,0.0,0.0,1127559813000.0,5001552516.0,1442488104000.0,565609999000.0,37214049000.0,37214049000.0,127654598000.0,0.0,14179597000.0,14179597000.0,37.915,340.08,0.78,0.0662,0.118,0.23,0.07,3.79,-5.65,13.0,7.89,25,2016-03-24T16:05:14.275445,2016-10-01T00:03:36.14339,True,27
December,2016-06-30,IDR,1.0,957385000000.0,2345682000000.0,1869556000000.0,4215239000000.0,466687000000.0,508211000000.0,0.0,974898000000.0,434000000.0,3240341000000.0,2660286000000.0,601997000000.0,359792000000.0,292105000000.0,0.0,-709679000000.0,-709679000000.0,599.3641,8.0,0.3,0.0924,0.1202,0.11,0.14,7.12,-2.46,7.66,3.0,26,2016-03-24T16:05:14.306695,2016-10-01T00:03:36.17464,True,28
December,2016-06-30,IDR,1.0,1059173618.0,107365095328.0,59097422885.0,166462518213.0,68735229093.0,9298159967.0,0.0,78033389060.0,84000000000.0,88429129153.0,45245248997.0,16001966621.0,10777768923.0,7314217863.0,0.0,-411940000.0,-411940000.0,30.5366,125.38,0.88,0.1055,0.1985,0.16,0.24,100.0,100.0,100.0,100.0,27,2016-03-24T16:05:14.35357,2016-10-01T00:03:36.190265,True,817
December,2016-06-30,IDR,1.0,691570000000.0,7682977000000.0,7076546000000.0,14759523000000.0,6977896000000.0,3172901000000.0,0.0,10150797000000.0,41524501700.0,4608726000000.0,35376105000000.0,6566365000000.0,675417000000.0,220251000000.0,0.0,-2033610000000.0,-2033610000000.0,4.3527,114.82,2.2,0.0199,0.0637,0.01,0.02,16.59,43.31,17.05,20.27,28,2016-03-24T16:05:14.38482,2016-10-01T00:03:36.23714,True,29
December,2016-06-30,USD,13795.0,19104326.0,51690082.0,418753938.0,470444020.0,55893474.0,74120651.0,0.0,130014125.0,3335525000.0,340429895.0,133337837.0,557513.0,557513.0,-8218376.0,0.0,-28170577.0,-28170577.0,-6.931,1.0,0.38,-0.0175,-0.0241,-0.06,0.0,-31.63,118.89,8.24,32.25,29,2016-03-24T16:05:14.41607,2016-10-01T00:03:36.26839,True,30
December,2016-03-31,IDR,1.0,8086634372000.0,11252826560000.0,19104024330000.0,30356850890000.0,4339330380000.0,7700801548000.0,0.0,12040131928000.0,24030764726.0,18316718962000.0,10531504802000.0,195140645000.0,-701438522000.0,-1440851795000.0,0.0,-166638730000.0,-166638730000.0,0.881,762.63,0.66,-0.0475,-0.0787,-0.14,-0.07,-44.65,4638.51,23.47,3.21,30,2016-03-24T16:05:14.462945,2016-10-01T00:03:36.29964,True,33
December,2015-09-30,USD,14657.0,41103348.0,137959148.0,597484886.0,735444034.0,121601907.0,548850689.0,0.0,670452596.0,2659850000.0,64991438.0,203128395.0,69763897.0,51868648.0,38421670.0,0.0,4417275.0,4417275.0,282.2948,358.13,10.32,0.0697,0.7882,0.19,0.26,11.67,135.57,20.28,16.86,31,2016-03-24T16:05:14.525445,2016-10-01T00:03:36.346515,True,34
December,2016-06-30,IDR,1.0,28239057814.0,588387000000.0,71400934853.0,659787590284.0,142528408363.0,0.0,0.0,142528408363.0,2940498750.0,517259181921.0,11714450325.0,0.0,5347051355.0,6211168739.0,0.0,-1206103546.0,-1206103546.0,28.7681,200.17,0.28,0.0126,0.016,0.53,0.46,30.53,18.62,31.01,52.25,32,2016-03-24T16:05:14.556695,2016-10-01T00:03:36.377765,True,35
December,2016-06-30,IDR,1.0,10900871794.0,257135303091.0,164737444023.0,421872747114.0,117093362706.0,24168630111.0,0.0,201261992817.0,1075760000.0,220610754297.0,202115388442.0,121610839949.0,49905014578.0,16535359423.0,0.0,-2020113653.0,-2020113653.0,13.9322,209.23,0.91,0.0392,0.075,0.08,0.25,-9.53,-39.24,-1.74,-5.06,33,2016-03-24T16:05:14.60357,2016-10-01T00:03:36.39339,True,36
December,2016-06-30,USD,14657.0,8564000.0,52779000.0,307263000.0,360042000.0,203699000.0,66867000.0,0.0,270566000.0,3000000000.0,89476000.0,19136000.0,24494545868.0,-18588000.0,-16782000.0,0.0,-16442163164.0,-16442163164.0,17.5466,156.54,3.02,-0.0621,-0.2501,-0.88,-0.97,24.14,70.22,17.76,53.49,34,2016-03-24T16:05:14.63482,2016-10-01T00:03:36.42464,True,37
